name,number_female,number_male,prob_female,prob_male,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
Terrilynn,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Terrin,0,17,0,0.5772532188841202,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
Terrion,11,593,0,0.9247967479674796,0,5,0,0,23,0,0,0,0,22,50,0,0,0,234,7,0,0,8.5,0,0,0,11,0,68,10,0,5,0,0,0,0,0,0,0,22,0,0,0,0,0,0,84,36,0,0,0,0,10,0,0
Terriona,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terris,0,5,0,0.8528806584362142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrisa,5,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrisha,11,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Terron,0,513,0,0.9865546218487397,0,0,0,0,63,0,0,0,0,53,16,0,0,0,71,0,0,0,10,0,21,0,18,0,93,0,0,11,0,0,0,31,0,0,34,28,0,0,46,0,0,0,5,8,0,5,0,0,0,0,0
Terry,93552,419008,0,0.8132346958645913,289,7329,4508,1762,16857,2566.5,921.5,1011.5,345,6833.5,8241,436,5551.5,1381.5,14119,9837,4384,7082.5,6526,1172,3451,948.5,12742,4613.5,9247,4968.5,1149,9740.5,1271,2784.5,317.5,2433,1206,442.5,9296.5,16078,5860.5,2972.5,11747.5,165,4502,1482.5,9469,16033,1747.5,5210.5,331,4622,5627,4140,527.5
Terrye,93,0,1,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,10,65,0,0,0,0,0,0,0
Terryl,52,16,0,0.5078929306794784,0,0,0,0,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Terryn,10,0,0.7256637168141593,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teruko,274,0,1,0,0,0,0,0,133,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teruo,0,197,0,1,0,0,0,0,66,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teruyo,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teryl,68,0,0.7476007677543186,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teryn,162,0,0.8342210386151797,0,0,0,0,0,94,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,42,6,0,0,0,0,0,0
Tesa,55,0,1,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
Tesfa,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tesha,421,0,1,0,0,0,0,0,67,0,0,0,0,8,20,0,0,0,30,0,0,0,24,0,5,0,20,0,5,0,0,35,0,0,0,23,0,0,93,5,0,0,17,0,7,0,6,56,0,0,0,0,0,0,0
Teshawn,0,16,0,0.929539295392954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Teshia,16,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tesia,139,0,1,0,0,0,0,0,82,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,5,5,0,0,5,0,0,0,0,19,0,0,0,0,0,0,0
Tesla,882,0,0.9765739385065886,0,0,0,5,18,172,23,0,0,0,45,16,0,0,5,15,41,0,32,0,0,0,0,11,0,36,0,0,28,0,0,0,0,0,0,19,118,14,17,29,0,0,0,25,162,7,6,0,22,0,16,0
Tess,10116,0,1,0,5,10,8,155,1363,294,197,44,0,331,159,0,100,29,660,180,102,30,103,662,178,5,394,296,230,0,33,184,0,32,35,283,16,5,919,476,64,138,515,31,5,11,103,599,312,251,0,249,320,0,0
Tessa,42148,6,0.9997070356515076,0,139,481,363,770,4243,1063,534,45,17,1403,801,5,810,361,1924,1120,612,395.5,495,1114,610,150,1618,1390,1107,174,300,820,262,586,193,630,272,216,1869,2239,557,815,2067,100,338,376,828,2578,985,860,40,1439,1163,406,75
Tessie,4714,0,0.9989888776541962,0,0,195,89,0,146,0,132,0,0,24,137,10,0,0,181,0,0,23,289,44,0,0,5,0,34,25,0,238,0,0,0,606,42,0,1516,49,32,0,478,0,27,0,0,301,5,47,0,0,0,39,0
Tessy,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tetsuo,0,195,0,1,0,0,0,0,65,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tetsuro,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tevan,0,11,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Tevin,0,9426,0,0.9945581995941708,0,375,178,74,519,41,63,69,20,668,597,18,11,0,517,159,69,141,517,103,202,0,276,34,135,365,6,673,0,11,0,122,7,27,492,320,111,16,203,5,401,0,459,713,31,461,0,100,96,21,0
Tevion,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Tevis,5,6,0,0.8823529411764706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tevita,0,388,0,1,0,0,0,0,237,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0
